street,school,loc
__ A,McKinley School, 999999-999999 006-33
Abbey Road A,St Pius School, 1-999999 002-34
Aberdeen Way A,Mill Hill School, 2-71 010-32
Abigails Way A,Fairfield Woods Middle School, 1-999999 003-32
Acorn Lane A,Mill Hill School, 1-999999 010-32
Adams Road A,Fairfield Ludlowe High School, 1-999999 008-32
Adelaide Street A,McKinley School, 1-999999 006-33
Adley Road E,Fairfield Woods Middle School, 2-120 003-32
Adley Road E,Stratfield School, 132-132 004-33
Adley Road E,St Pius School, 182-598 002-34
Adley Road O,St Pius School, 23-571 002-34
Alberta Street A,Stratfield School, 1-999999 004-33
Alden Street A,Sherman School, 1-999999 009-32
Alexandria Court A,Dwight School, 1-999999 001-34
Algonquin Road A,Fairfield Warde High School, 1-999999 005-33
Allen Road A,Fairfield Woods Middle School, 1-999999 003-34
Alma Drive A,Fairfield Ludlowe High School, 1-999999 008-32
Alton Place A,Fairfield Warde High School, 1-999999 005-33
Alvin Street A,Fairfield Warde High School, 1-999999 005-33
Alyssa Lane A,Fairfield Warde High School, 1-999999 005-33
Anderson Lane A,Mill Hill School, 1-999999 010-32
Andrassy Avenue A,McKinley School, 1-999999 006-33
Ann Street A,Sherman School, 1-999999 009-32
Anvil Road A,Mill Hill School, 1-999999 010-32
Applegate Road A,Stratfield School, 1-999999 004-33
Apponyi Street A,McKinley School, 1-999999 006-33
Aran Hill Road A,Dwight School, 1-999999 001-34
Arbor Drive A,Mill Hill School, 1-999999 010-32
Arbor Terrace A,Mill Hill School, 1-999999 010-32
Ardmore Street A,McKinley School, 1-999999 006-33
Argonne Street A,Stratfield School, 1-999999 004-33
Arising Street A,McKinley School, 1-999999 006-33
Arrow Head Lane A,St Pius School, 1-999999 002-34
Ash Street A,McKinley School, 1-999999 006-33
Aspen Wood Lane A,Fairfield Woods Middle School, 1-999999 003-32
Aspetuck Falls A,Dwight School, 1-999999 001-34
Audubon Lane A,Dwight School, 1-999999 001-34
Autumn Ridge Road A,St Pius School, 1-999999 002-34
Avalon Court A,Holland Hill School, 1-999999 007-33
Bailey Road E,Stratfield School, 14-210 004-33
Bailey Road O,Stratfield School, 21-243 004-33
Baldwin Terrace A,Sherman School, 1-999999 009-32
Balmaha Close A,Stratfield School, 1-999999 004-33
Balmaha Court A,Stratfield School, 1-999999 004-33
Banks North Road A,Dwight School, 1-999999 001-34
Banks Place A,Mill Hill School, 1-999999 010-32
Barberry Road A,Mill Hill School, 1-999999 010-32
Barlow Place A,Fairfield Ludlowe High School, 1-999999 008-32
Barlow Plain Drive A,Holland Hill School, 1-999999 007-33
Barlow Road A,Fairfield Ludlowe High School, 374-627 008-32
Barlow Road E,Holland Hill School, 86-200 007-33
Barlow Road O,Fairfield Ludlowe High School, 55-311 008-32
Barnhill Court A,Fairfield Woods Middle School, 1-999999 003-32
Barnhill Road A,Fairfield Woods Middle School, 1-999999 003-32
Baros Street A,McKinley School, 1-999999 006-33
Barrister Lane A,Dwight School, 1-999999 001-34
Barry Scott Drive A,Fairfield Woods Middle School, 1-999999 003-32
Barton Road A,Holland Hill School, 1-999999 007-33
Bay Edge Court A,Holland Hill School, 1-999999 007-33
Bayberry Road A,Stratfield School, 1-999999 004-33
